age,class_of_worker,education,marital_status,race,sex,industry,capital_zscaled,binned_income
45,Private,Bachelors degree(BA AB BS),Other, Black, Female,Public administration/Education/Social assistance,1.2058408485837477, - 50000.
33,Self-employed,High school graduate,Married, White, Female,Management,-0.15954615253005786, - 50000.
29,Self-employed,High school graduate,Never married, White, Male,Construction,-0.15954615253005786, - 50000.
62,Self-employed,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
24,Private,High school graduate,Never married, White, Male,Services/Administration,-1.0676638086285917, - 50000.
24,Private,Bachelors degree(BA AB BS),Never married, White, Male,Management,-0.15954615253005786, - 50000.
26,Private,Bachelors degree(BA AB BS),Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
61,Private,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,3.3665187667050573, - 50000.
37,Self-employed,High school graduate,Married, White, Male,Construction,-0.15954615253005786, - 50000.
22,Private,High school graduate,Never married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
31,Private,Some college/Vocational,Married, White, Male,Utilities,-0.15954615253005786, - 50000.
38,Private,High school graduate,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
31,Private,Bachelors degree(BA AB BS),Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
53,Self-employed,High school graduate,Married, Black, Male,Services/Administration,1.2636301539718362, - 50000.
31,Government,High school graduate,Other, White, Female,Services/Administration,-0.15954615253005786, - 50000.
45,Private,High school graduate,Other, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
62,Private,High school graduate,Other, White, Male,Manufacturing,-0.15954615253005786, - 50000.
63,Self-employed,Less than high school,Married, White, Female,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
46,Private,High school graduate,Other, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
17,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
40,Private,High school graduate,Other, Black, Male,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
57,Government,Graduate,Never married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, 50000+.
21,Government,Some college/Vocational,Never married, White, Female,"Arts, Entertainment, and Recreation",-1.0772953595266064, - 50000.
31,Private,Bachelors degree(BA AB BS),Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
22,Private,Some college/Vocational,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
32,Private,Some college/Vocational,Married, White, Male,Utilities,1.4292011003615184, - 50000.
29,Private,Graduate,Never married, White, Male,"Computer, Information",-0.15954615253005786, 50000+.
42,Private,High school graduate,Married, White, Female,"Computer, Information",-0.15954615253005786, - 50000.
42,Private,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,6.73114054707821, 50000+.
59,Private,Bachelors degree(BA AB BS),Other, White, Male,Manufacturing,-1.5373165762270253, 50000+.
48,Private,Bachelors degree(BA AB BS),Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
25,Private,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
59,Private,Bachelors degree(BA AB BS),Never married, White, Female,Hospitals/Health care,-0.15954615253005786, 50000+.
51,Private,Bachelors degree(BA AB BS),Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
51,Private,Less than high school,Married, Amer Indian Aleut or Eskimo, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
41,Private,High school graduate,Married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
29,Government,Some college/Vocational,Never married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
48,Private,Some college/Vocational,Married, White, Male,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
39,Private,Bachelors degree(BA AB BS),Married, White, Male,Manufacturing,-1.066287872786018, 50000+.
45,Private,Some college/Vocational,Other, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
27,Government,Some college/Vocational,Other, Black, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
50,Self-employed,Graduate,Married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
26,Private,High school graduate,Married, White, Male,Construction,-0.15954615253005786, - 50000.
42,Private,Bachelors degree(BA AB BS),Other, White, Female,Hospitals/Health care,-0.15954615253005786, 50000+.
23,Private,Less than high school,Never married, Black, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
51,Private,Some college/Vocational,Married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
24,Private,Some college/Vocational,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
46,Private,Some college/Vocational,Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
57,Private,Less than high school,Other, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
36,Private,Bachelors degree(BA AB BS),Other, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
31,Government,Bachelors degree(BA AB BS),Never married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
39,Private,Bachelors degree(BA AB BS),Married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
65,Self-employed,Some college/Vocational,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
49,Self-employed,Bachelors degree(BA AB BS),Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
45,Private,Bachelors degree(BA AB BS),Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
50,Government,Some college/Vocational,Married, White, Female,Other,-0.15954615253005786, - 50000.
37,Private,Less than high school,Married, White, Male,Construction,-0.15954615253005786, - 50000.
39,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
42,Private,Bachelors degree(BA AB BS),Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
25,Private,Bachelors degree(BA AB BS),Never married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
52,Private,High school graduate,Married, White, Female,"Computer, Information",3.3665187667050573, - 50000.
24,Self-employed,High school graduate,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
16,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
50,Self-employed,High school graduate,Married, Asian or Pacific Islander, Female,Utilities,-0.15954615253005786, - 50000.
46,Government,Graduate,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
28,Private,Less than high school,Never married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
69,Self-employed,High school graduate,Married, White, Male,Public administration/Education/Social assistance,4.145298453601678, - 50000.
47,Self-employed,Graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, 50000+.
35,Private,High school graduate,Married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
67,Self-employed,High school graduate,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
49,Private,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
28,Private,High school graduate,Married, White, Male,Utilities,-0.15954615253005786, - 50000.
70,Private,Less than high school,Other, White, Female,Utilities,1.0044955702871536, - 50000.
43,Private,High school graduate,Married, Black, Male,Utilities,3.3665187667050573, 50000+.
40,Private,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
27,Private,Bachelors degree(BA AB BS),Married, White, Female,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
23,Private,Less than high school,Never married, White, Male,Trade,-0.15954615253005786, - 50000.
46,Private,High school graduate,Other, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
39,Private,Some college/Vocational,Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
50,Self-employed,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
32,Private,Less than high school,Never married, White, Male,Construction,-0.15954615253005786, - 50000.
33,Private,High school graduate,Other, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
40,Private,Some college/Vocational,Other, Amer Indian Aleut or Eskimo, Female,Construction,-0.15954615253005786, - 50000.
33,Private,Some college/Vocational,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
40,Government,Graduate,Married, White, Male,Other,-0.15954615253005786, 50000+.
45,Private,High school graduate,Other, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
57,Private,Some college/Vocational,Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
46,Private,Bachelors degree(BA AB BS),Married, White, Female,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
60,Government,High school graduate,Married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
45,Government,Bachelors degree(BA AB BS),Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
24,Private,Bachelors degree(BA AB BS),Never married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
59,Private,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, 50000+.
43,Government,Bachelors degree(BA AB BS),Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
42,Private,High school graduate,Married, White, Male,Utilities,-0.15954615253005786, - 50000.
26,Private,Some college/Vocational,Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
48,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
48,Private,Some college/Vocational,Other, Black, Male,Services/Administration,-0.15954615253005786, 50000+.
35,Private,Less than high school,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
44,Private,Bachelors degree(BA AB BS),Other, White, Male,Hospitals/Health care,-0.15954615253005786, 50000+.
66,Private,Some college/Vocational,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
27,Private,Some college/Vocational,Married, Black, Female,Utilities,-0.15954615253005786, - 50000.
22,Private,Some college/Vocational,Never married, White, Male,Management,-0.15954615253005786, - 50000.
41,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
20,Private,High school graduate,Never married, Black, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
30,Private,Less than high school,Married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
44,Government,Some college/Vocational,Other, White, Female,Services/Administration,-0.15954615253005786, - 50000.
45,Self-employed,Bachelors degree(BA AB BS),Never married, White, Male,Construction,-1.5373165762270253, 50000+.
41,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
31,Government,Bachelors degree(BA AB BS),Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
67,Government,Some college/Vocational,Married, White, Male,Other,-0.15954615253005786, - 50000.
28,Self-employed,Some college/Vocational,Never married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
29,Private,Graduate,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
16,Private,Less than high school,Never married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
46,Private,Some college/Vocational,Other, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
32,Private,Some college/Vocational,Married, White, Male,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
70,Private,Graduate,Never married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
32,Private,Some college/Vocational,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
24,Private,Some college/Vocational,Married, White, Male,Hospitals/Health care,-0.15954615253005786, - 50000.
66,Self-employed,Less than high school,Other, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, 50000+.
38,Self-employed,High school graduate,Other, White, Male,Services/Administration,0.5311736404418572, - 50000.
36,Government,Some college/Vocational,Other, Amer Indian Aleut or Eskimo, Female,Construction,-0.15954615253005786, - 50000.
38,Private,Bachelors degree(BA AB BS),Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
47,Government,Some college/Vocational,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
40,Private,High school graduate,Married, White, Male,Utilities,-0.15954615253005786, - 50000.
49,Self-employed,Some college/Vocational,Other, White, Female,Utilities,-0.15954615253005786, - 50000.
48,Private,Some college/Vocational,Other, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
62,Private,Less than high school,Married, Black, Male,"Computer, Information",-0.15954615253005786, - 50000.
40,Private,High school graduate,Married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
54,Private,High school graduate,Other, White, Male,Utilities,-0.15954615253005786, - 50000.
46,Private,High school graduate,Married, White, Male,"Computer, Information",-0.15954615253005786, 50000+.
41,Private,High school graduate,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
45,Self-employed,Graduate,Married, White, Male,Hospitals/Health care,-0.15954615253005786, 50000+.
51,Government,Some college/Vocational,Married, White, Female,Public administration/Education/Social assistance,-0.9062206697666301, - 50000.
56,Private,Less than high school,Married, White, Male,Trade,-0.15954615253005786, - 50000.
29,Private,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
57,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,0.8059021636757066, - 50000.
50,Private,High school graduate,Married, White, Female,Manufacturing,-0.15954615253005786, - 50000.
40,Private,Bachelors degree(BA AB BS),Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
37,Private,Less than high school,Married, Asian or Pacific Islander, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
38,Private,High school graduate,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
42,Government,Bachelors degree(BA AB BS),Other, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
23,Private,Bachelors degree(BA AB BS),Never married, Asian or Pacific Islander, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
40,Self-employed,Bachelors degree(BA AB BS),Married, Asian or Pacific Islander, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
29,Private,Some college/Vocational,Married, White, Female,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
26,Private,Some college/Vocational,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
38,Private,High school graduate,Other, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
43,Private,Bachelors degree(BA AB BS),Married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
34,Self-employed,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
45,Government,Bachelors degree(BA AB BS),Married, White, Male,Hospitals/Health care,-0.15954615253005786, 50000+.
20,Private,High school graduate,Never married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
37,Government,High school graduate,Other, White, Female,Other,-0.15954615253005786, - 50000.
53,Self-employed,Some college/Vocational,Other, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Female,Manufacturing,-0.15954615253005786, - 50000.
45,Self-employed,Graduate,Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
46,Self-employed,Some college/Vocational,Married, White, Male,Management,-0.15954615253005786, - 50000.
52,Government,Graduate,Married, White, Male,Public administration/Education/Social assistance,3.1876471071704975, 50000+.
51,Government,High school graduate,Other, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
20,Private,Some college/Vocational,Never married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
25,Private,High school graduate,Married, White, Male,Management,-0.15954615253005786, - 50000.
55,Government,Some college/Vocational,Married, White, Male,Services/Administration,-0.15954615253005786, - 50000.
26,Self-employed,Bachelors degree(BA AB BS),Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
35,Private,High school graduate,Married, Black, Male,Utilities,-0.15954615253005786, - 50000.
54,Private,High school graduate,Other, White, Male,Hospitals/Health care,-0.15954615253005786, - 50000.
19,Private,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
43,Government,Bachelors degree(BA AB BS),Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
22,Government,Some college/Vocational,Never married, Black, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
43,Private,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, 50000+.
46,Private,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
40,Private,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
56,Self-employed,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
41,Private,High school graduate,Never married, White, Female,"Computer, Information",-0.15954615253005786, - 50000.
19,Private,High school graduate,Never married, White, Female,Manufacturing,-0.15954615253005786, - 50000.
36,Private,Less than high school,Married, White, Female,Construction,-0.15954615253005786, - 50000.
47,Private,Bachelors degree(BA AB BS),Married, White, Female,Utilities,-0.15954615253005786, - 50000.
23,Private,Some college/Vocational,Never married, White, Male,Utilities,-0.15954615253005786, - 50000.
38,Private,Some college/Vocational,Married, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
50,Self-employed,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, 50000+.
23,Private,High school graduate,Never married, White, Male,Manufacturing,-0.15954615253005786, - 50000.
23,Government,Some college/Vocational,Never married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
43,Private,Some college/Vocational,Married, White, Female,"Arts, Entertainment, and Recreation",-0.15954615253005786, - 50000.
43,Private,High school graduate,Other, White, Female,Services/Administration,-0.15954615253005786, - 50000.
35,Private,Some college/Vocational,Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
44,Private,Less than high school,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
67,Self-employed,Graduate,Married, White, Female,Services/Administration,-0.15954615253005786, 50000+.
43,Private,Less than high school,Other, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
41,Private,High school graduate,Married, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
45,Private,Some college/Vocational,Other, Other, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
48,Private,Less than high school,Never married, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
45,Government,Bachelors degree(BA AB BS),Married, White, Male,Services/Administration,1.7043882688762255, 50000+.
39,Government,Bachelors degree(BA AB BS),Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
20,Private,Less than high school,Never married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
29,Private,Bachelors degree(BA AB BS),Married, Asian or Pacific Islander, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
28,Private,Bachelors degree(BA AB BS),Married, White, Male,Management,-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
39,Self-employed,Graduate,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
28,Self-employed,High school graduate,Married, White, Male,Construction,-0.15954615253005786, - 50000.
18,Private,Less than high school,Never married, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
45,Private,Some college/Vocational,Married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
45,Private,High school graduate,Married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
45,Self-employed,Bachelors degree(BA AB BS),Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
40,Private,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
47,Government,Graduate,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
16,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
47,Government,Graduate,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
22,Private,Some college/Vocational,Never married, White, Female,Hospitals/Health care,-0.15954615253005786, - 50000.
29,Private,High school graduate,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
53,Private,Less than high school,Married, Black, Male,Utilities,-0.15954615253005786, 50000+.
34,Private,High school graduate,Other, White, Female,"Arts, Entertainment, and Recreation",0.36835456573732206, - 50000.
36,Private,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
19,Private,High school graduate,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
58,Self-employed,Some college/Vocational,Married, White, Male,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
17,Private,Less than high school,Never married, Other, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
53,Government,Bachelors degree(BA AB BS),Never married, Black, Female,Services/Administration,-0.15954615253005786, - 50000.
78,Government,Bachelors degree(BA AB BS),Married, White, Male,Other,-0.15954615253005786, - 50000.
48,Private,Some college/Vocational,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
41,Government,Graduate,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, 50000+.
48,Private,Less than high school,Married, White, Male,Trade,-0.15954615253005786, - 50000.
31,Private,High school graduate,Other, White, Male,Construction,-0.15954615253005786, - 50000.
73,Self-employed,High school graduate,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
48,Private,Some college/Vocational,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
46,Private,Some college/Vocational,Married, White, Male,"Computer, Information",-0.15954615253005786, - 50000.
44,Self-employed,Bachelors degree(BA AB BS),Other, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
36,Private,Some college/Vocational,Other, White, Female,Manufacturing,-0.15954615253005786, - 50000.
25,Private,Bachelors degree(BA AB BS),Never married, White, Male,Finance/Insurance/Real Estate,1.3654494063222777, - 50000.
28,Private,Less than high school,Married, White, Female,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
38,Government,High school graduate,Married, White, Male,Utilities,-0.15954615253005786, - 50000.
35,Private,High school graduate,Never married, White, Female,Utilities,-0.8942958924643261, - 50000.
57,Self-employed,High school graduate,Married, White, Male,Finance/Insurance/Real Estate,3.1876471071704975, 50000+.
55,Private,High school graduate,Married, White, Female,"Agriculture, Forestry, Fishing, Hunting, Mining",-0.15954615253005786, - 50000.
16,Private,Less than high school,Never married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
20,Private,Less than high school,Never married, White, Female,Services/Administration,-0.15954615253005786, - 50000.
74,Self-employed,Less than high school,Married, White, Male,Finance/Insurance/Real Estate,-0.15954615253005786, - 50000.
60,Private,Some college/Vocational,Other, White, Male,Hospitals/Health care,-0.15954615253005786, - 50000.
48,Private,High school graduate,Married, White, Female,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
61,Self-employed,Some college/Vocational,Married, White, Male,Public administration/Education/Social assistance,-0.15954615253005786, - 50000.
